run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues,vectime,vecvalue
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.actuator.app[0].actuateDelay,20ms,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,scalar,AdvancedSecurityNetwork.radioMedium.propagation,Arrival computation count,,,20,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,scalar,AdvancedSecurityNetwork.radioMedium,transmission count,,,10,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,scalar,AdvancedSecurityNetwork.radioMedium,signal send count,,,20,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,scalar,AdvancedSecurityNetwork.radioMedium,reception computation count,,,19,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,scalar,AdvancedSecurityNetwork.radioMedium,interference computation count,,,70,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,scalar,AdvancedSecurityNetwork.radioMedium,reception decision computation count,,,18,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,scalar,AdvancedSecurityNetwork.radioMedium,listening decision computation count,,,33,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,scalar,AdvancedSecurityNetwork.radioMedium,reception cache hit,,,85.271317829457,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,attr,AdvancedSecurityNetwork.radioMedium,reception cache hit,unit,%,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,scalar,AdvancedSecurityNetwork.radioMedium,interference cache hit,,,66.666666666667,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,attr,AdvancedSecurityNetwork.radioMedium,interference cache hit,unit,%,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,scalar,AdvancedSecurityNetwork.radioMedium,noise cache hit,,,0,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,attr,AdvancedSecurityNetwork.radioMedium,noise cache hit,unit,%,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,scalar,AdvancedSecurityNetwork.radioMedium,snir cache hit,,,50,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,attr,AdvancedSecurityNetwork.radioMedium,snir cache hit,unit,%,,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,scalar,AdvancedSecurityNetwork.radioMedium,reception decision cache hit,,,50,,,,,,,,,,,,
ECC-0-20260408-11:10:05-2463,attr,AdvancedSecurityNetwork.radioMedium,reception decision cache hit,unit,%,,,,,,,,,,,,,
